source_entity,display_entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
China,China,1934,2230.0
China,China,1946,2030.0
China,China,1947,2115.0
China,China,1952,1861.0
China,China,1953,1879.0
China,China,1954,1895.0
China,China,1955,2005.0
China,China,1956,2051.0
China,China,1957,2045.0
China,China,1958,2053.0
China,China,1959,1722.0
China,China,1960,1453.0
China,China,1961,1415.0
China,China,1962,1526.0
China,China,1963,1594.0
China,China,1964,1666.0
China,China,1965,1797.0
China,China,1966,1865.0
China,China,1967,1817.0
China,China,1968,1758.0
China,China,1969,1731.0
China,China,1970,1840.0
China,China,1971,1845.0
China,China,1972,1828.0
China,China,1973,1897.0
China,China,1974,1893.0
China,China,1975,1909.0
China,China,1976,1875.0
China,China,1977,1914.0
China,China,1978,2062.0
China,China,1979,2077.0
China,China,1980,2146.0
China,China,1981,2164.0
China,China,1982,2328.0
China,China,1983,2399.0
China,China,1984,2433.0
China,China,1985,2429.0
China,China,1986,2424.0
China,China,1987,2439.0
China,China,1988,2416.0
China,China,1989,2404.0
China,China,1990,2504.0
China,China,1991,2431.0
China,China,1992,2456.0
China,China,1993,2538.0
China,China,1994,2604.0
China,China,1995,2691.0
China,China,1996,2695.0
China,China,1997,2725.0
China,China,1998,2770.0
China,China,1999,2763.0
China,China,2000,2808.0
China,China,2001,2816.0
China,China,2002,2832.0
China,China,2003,2833.0
China,China,2004,2857.0
China,China,2005,2879.0
China,China,2006,2883.0
China,China,2007,2919.0
China,China,2008,2977.0
China,China,2009,2994.0
China,China,2010,3044.0
China,China,2011,3081.0
China,China,2012,3100.0
China,China,2013,3108.0
China,China,2014,3151.0
China,China,2015,3192.0
China,China,2016,3159.0
China,China,2017,3179.0
China,China,2018,3206.0
France,France,1705,1657.0
France,France,1800,1846.0
France,France,1820,1984.0
France,France,1830,2118.0
France,France,1840,2377.0
France,France,1850,2840.0
France,France,1860,2854.0
France,France,1870,3085.0
France,France,1880,3085.0
France,France,1890,3220.0
France,France,1900,3192.0
France,France,1910,3323.0
France,France,1920,3133.0
France,France,1947,2357.0
France,France,1948,2667.0
France,France,1961,3194.0
France,France,1962,3258.0
France,France,1963,3233.0
France,France,1964,3220.0
France,France,1965,3233.0
France,France,1966,3219.0
France,France,1967,3278.0
France,France,1968,3279.0
France,France,1969,3284.0
France,France,1970,3306.0
France,France,1971,3288.0
France,France,1972,3255.0
France,France,1973,3269.0
France,France,1974,3272.0
France,France,1975,3242.0
France,France,1976,3276.0
France,France,1977,3337.0
France,France,1978,3382.0
France,France,1979,3379.0
France,France,1980,3375.0
France,France,1981,3417.0
France,France,1982,3419.0
France,France,1983,3456.0
France,France,1984,3444.0
France,France,1985,3486.0
France,France,1986,3462.0
France,France,1987,3531.0
France,France,1988,3560.0
France,France,1989,3556.0
France,France,1990,3506.0
France,France,1991,3541.0
France,France,1992,3549.0
France,France,1993,3543.0
France,France,1994,3512.0
France,France,1995,3534.0
France,France,1996,3519.0
France,France,1997,3547.0
France,France,1998,3593.0
France,France,1999,3604.0
France,France,2000,3605.0
France,France,2001,3640.0
France,France,2002,3656.0
France,France,2003,3587.0
France,France,2004,3555.0
France,France,2005,3538.0
France,France,2006,3513.0
France,France,2007,3466.0
France,France,2008,3551.0
France,France,2009,3530.0
France,France,2010,3536.0
France,France,2011,3514.0
France,France,2012,3460.0
France,France,2013,3482.0
France,France,2014,3411.0
France,France,2015,3488.0
France,France,2016,3532.0
France,France,2017,3510.0
France,France,2018,3502.0
India,India,1934,1970.0
India,India,1946,1700.0
India,India,1947,1685.0
India,India,1948,1570.0
India,India,1961,2010.0
India,India,1962,2052.0
India,India,1963,1973.0
India,India,1964,1995.0
India,India,1965,1931.0
India,India,1966,1939.0
India,India,1967,1991.0
India,India,1968,2010.0
India,India,1969,2036.0
India,India,1970,2111.0
India,India,1971,1990.0
India,India,1972,1985.0
India,India,1973,2046.0
India,India,1974,1938.0
India,India,1975,2060.0
India,India,1976,1923.0
India,India,1977,2106.0
India,India,1978,2148.0
India,India,1979,2025.0
India,India,1980,1994.0
India,India,1981,2056.0
India,India,1982,2029.0
India,India,1983,2208.0
India,India,1984,2215.0
India,India,1985,2158.0
India,India,1986,2160.0
India,India,1987,2173.0
India,India,1988,2276.0
India,India,1989,2367.0
India,India,1990,2205.0
India,India,1991,2297.0
India,India,1992,2333.0
India,India,1993,2269.0
India,India,1994,2292.0
India,India,1995,2324.0
India,India,1996,2344.0
India,India,1997,2369.0
India,India,1998,2361.0
India,India,1999,2398.0
India,India,2000,2380.0
India,India,2001,2333.0
India,India,2002,2285.0
India,India,2003,2282.0
India,India,2004,2256.0
India,India,2005,2270.0
India,India,2006,2334.0
India,India,2007,2400.0
India,India,2008,2427.0
India,India,2009,2415.0
India,India,2010,2442.0
India,India,2011,2455.0
India,India,2012,2435.0
India,India,2013,2459.0
India,India,2014,2460.0
India,India,2015,2454.0
India,India,2016,2498.0
India,India,2017,2531.0
India,India,2018,2533.0
United Kingdom,England/UK,1700,2229.0
United Kingdom,England/UK,1750,2237.0
United Kingdom,England/UK,1800,2436.0
United Kingdom,England/UK,1850,2512.0
United Kingdom,England/UK,1880,2773.0
United Kingdom,England/UK,1910,2977.0
United Kingdom,England/UK,1930,2810.0
United Kingdom,England/UK,1940,3060.0
United Kingdom,England/UK,1947,2968.0
United Kingdom,England/UK,1948,3084.0
United Kingdom,England/UK,1950,3120.0
United Kingdom,England/UK,1961,3231.0
United Kingdom,England/UK,1962,3196.0
United Kingdom,England/UK,1963,3225.0
United Kingdom,England/UK,1964,3208.0
United Kingdom,England/UK,1965,3240.0
United Kingdom,England/UK,1966,3243.0
United Kingdom,England/UK,1967,3224.0
United Kingdom,England/UK,1968,3223.0
United Kingdom,England/UK,1969,3239.0
United Kingdom,England/UK,1970,3279.0
United Kingdom,England/UK,1971,3245.0
United Kingdom,England/UK,1972,3170.0
United Kingdom,England/UK,1973,3237.0
United Kingdom,England/UK,1974,3119.0
United Kingdom,England/UK,1975,3126.0
United Kingdom,England/UK,1976,3169.0
United Kingdom,England/UK,1977,3160.0
United Kingdom,England/UK,1978,3095.0
United Kingdom,England/UK,1979,3164.0
United Kingdom,England/UK,1980,3116.0
United Kingdom,England/UK,1981,3091.0
United Kingdom,England/UK,1982,3120.0
United Kingdom,England/UK,1983,3114.0
United Kingdom,England/UK,1984,3129.0
United Kingdom,England/UK,1985,3192.0
United Kingdom,England/UK,1986,3212.0
United Kingdom,England/UK,1987,3227.0
United Kingdom,England/UK,1988,3248.0
United Kingdom,England/UK,1989,3217.0
United Kingdom,England/UK,1990,3241.0
United Kingdom,England/UK,1991,3208.0
United Kingdom,England/UK,1992,3271.0
United Kingdom,England/UK,1993,3218.0
United Kingdom,England/UK,1994,3235.0
United Kingdom,England/UK,1995,3185.0
United Kingdom,England/UK,1996,3268.0
United Kingdom,England/UK,1997,3328.0
United Kingdom,England/UK,1998,3352.0
United Kingdom,England/UK,1999,3400.0
United Kingdom,England/UK,2000,3362.0
United Kingdom,England/UK,2001,3400.0
United Kingdom,England/UK,2002,3416.0
United Kingdom,England/UK,2003,3400.0
United Kingdom,England/UK,2004,3445.0
United Kingdom,England/UK,2005,3438.0
United Kingdom,England/UK,2006,3438.0
United Kingdom,England/UK,2007,3417.0
United Kingdom,England/UK,2008,3422.0
United Kingdom,England/UK,2009,3412.0
United Kingdom,England/UK,2010,3404.0
United Kingdom,England/UK,2011,3417.0
United Kingdom,England/UK,2012,3403.0
United Kingdom,England/UK,2013,3424.0
United Kingdom,England/UK,2014,3376.0
United Kingdom,England/UK,2015,3393.0
United Kingdom,England/UK,2016,3374.0
United Kingdom,England/UK,2017,3393.0
United Kingdom,England/UK,2018,3344.0
United States,United States,1800,2952.0
United States,United States,1810,2935.0
United States,United States,1820,2904.0
United States,United States,1830,2888.0
United States,United States,1840,3013.0
United States,United States,1850,2585.0
United States,United States,1860,2826.0
United States,United States,1870,3029.0
United States,United States,1880,3237.0
United States,United States,1890,3134.0
United States,United States,1900,3212.0
United States,United States,1910,3068.0
United States,United States,1920,3259.0
United States,United States,1930,3400.0
United States,United States,1940,3300.0
United States,United States,1947,3244.0
United States,United States,1948,3186.0
United States,United States,1950,3200.0
United States,United States,1961,2880.0
United States,United States,1962,2858.0
United States,United States,1963,2860.0
United States,United States,1964,2926.0
United States,United States,1965,2922.0
United States,United States,1966,2954.0
United States,United States,1967,2978.0
United States,United States,1968,3001.0
United States,United States,1969,3033.0
United States,United States,1970,3029.0
United States,United States,1971,3052.0
United States,United States,1972,3062.0
United States,United States,1973,3040.0
United States,United States,1974,3031.0
United States,United States,1975,3033.0
United States,United States,1976,3163.0
United States,United States,1977,3135.0
United States,United States,1978,3155.0
United States,United States,1979,3214.0
United States,United States,1980,3178.0
United States,United States,1981,3218.0
United States,United States,1982,3191.0
United States,United States,1983,3230.0
United States,United States,1984,3275.0
United States,United States,1985,3380.0
United States,United States,1986,3352.0
United States,United States,1987,3450.0
United States,United States,1988,3458.0
United States,United States,1989,3433.0
United States,United States,1990,3493.0
