year,polity_valid_mean,polity2_mean,n_valid,n_polity2,n_rows,release,score,polity2_minus_hp
1854,-3.8392857142857144,-3.8392857142857144,56,56,56,p4v2018,-2.909090909090909,-0.9301948051948052
1855,-3.75,-3.75,56,56,57,p4v2018,-2.7555555555555555,-0.9944444444444445
1856,-3.75,-3.75,56,56,57,p4v2018,-2.7555555555555555,-0.9944444444444445
1857,-3.508771929824561,-3.508771929824561,57,57,58,p4v2018,-2.4782608695652173,-1.030511060259344
1858,-3.526315789473684,-3.6206896551724137,57,58,58,p4v2018,-2.6956521739130435,-0.9250374812593702
1859,-3.4655172413793105,-3.542372881355932,58,59,59,p4v2018,-2.6382978723404253,-0.9040750090155067
1860,-3.3518518518518516,-3.4482758620689653,54,58,59,p4v2018,-2.574468085106383,-0.8738077769625825
1861,-2.7884615384615383,-2.872727272727273,52,55,56,p4v2018,-2.4791666666666665,-0.3935606060606065
1862,-2.7450980392156863,-2.7454545454545456,51,55,55,p4v2018,-2.3541666666666665,-0.3912878787878791
1863,-2.803921568627451,-2.6666666666666665,51,54,55,p4v2018,-2.2708333333333335,-0.39583333333333304
1864,-2.792452830188679,-2.7454545454545456,53,55,55,p4v2018,-2.3541666666666665,-0.3912878787878791
1865,-2.7962962962962963,-2.7818181818181817,54,55,55,p4v2018,-2.3958333333333335,-0.38598484848484826
1866,-2.9444444444444446,-2.909090909090909,54,55,55,p4v2018,-2.5416666666666665,-0.36742424242424265
1867,-2.5357142857142856,-2.5517241379310347,56,58,58,p4v2018,-2.176470588235294,-0.37525354969574076
1868,-2.4545454545454546,-2.5517241379310347,55,58,58,p4v2018,-2.25,-0.3017241379310347
1869,-2.327272727272727,-2.431034482758621,55,58,58,p4v2018,-2.1153846153846154,-0.3156498673740056
1870,-2.309090909090909,-2.3275862068965516,55,58,58,p4v2018,-2.0,-0.3275862068965516
1871,-2.0185185185185186,-2.070175438596491,54,57,57,p4v2018,-1.7058823529411764,-0.3642930856553146
1872,-1.68,-1.679245283018868,50,53,53,p4v2018,-1.6274509803921569,-0.05179430262671114
1873,-1.75,-1.679245283018868,52,53,53,p4v2018,-1.6274509803921569,-0.05179430262671114
1874,-1.6274509803921569,-1.5849056603773586,51,53,53,p4v2018,-1.5294117647058822,-0.055493895671476334
1875,-1.607843137254902,-1.490566037735849,51,53,53,p4v2018,-1.431372549019608,-0.05919348871624086
1876,-1.6862745098039216,-1.6226415094339623,51,53,53,p4v2018,-1.568627450980392,-0.054014058453570435
1877,-1.5576923076923077,-1.660377358490566,52,53,53,p4v2018,-1.607843137254902,-0.05253422123566387
1878,-1.5576923076923077,-1.679245283018868,52,53,53,p4v2018,-1.6274509803921569,-0.05179430262671114
1879,-1.4150943396226414,-1.5555555555555556,53,54,54,p4v2018,-1.5,-0.05555555555555558
1880,-1.0925925925925926,-1.0925925925925926,54,54,54,p4v2018,-1.0192307692307692,-0.0733618233618234
1881,-1.0754716981132075,-1.0754716981132075,53,53,54,p4v2018,-1.0384615384615383,-0.037010159651669206
1882,-1.0754716981132075,-1.0754716981132075,53,53,54,p4v2018,-1.0384615384615383,-0.037010159651669206
1883,-1.0,-1.0,54,54,54,p4v2018,-0.9230769230769232,-0.07692307692307676
1884,-1.0925925925925926,-1.0925925925925926,54,54,54,p4v2018,-1.0192307692307692,-0.0733618233618234
1885,-1.0925925925925926,-1.0925925925925926,54,54,54,p4v2018,-1.0192307692307692,-0.0733618233618234
1886,-1.2777777777777777,-1.2777777777777777,54,54,54,p4v2018,-1.2115384615384617,-0.066239316239316
1887,-1.2777777777777777,-1.2777777777777777,54,54,54,p4v2018,-1.2115384615384617,-0.066239316239316
1888,-1.148148148148148,-1.148148148148148,54,54,54,p4v2018,-1.0769230769230769,-0.07122507122507105
1889,-1.0740740740740742,-1.0740740740740742,54,54,54,p4v2018,-1.0,-0.07407407407407418
1890,-0.8148148148148148,-0.8148148148148148,54,54,54,p4v2018,-0.7307692307692307,-0.08404558404558404
1891,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2018,-0.7692307692307693,-0.08262108262108259
1892,-0.8333333333333334,-0.8333333333333334,54,54,54,p4v2018,-0.75,-0.08333333333333337
1893,-0.8148148148148148,-0.8148148148148148,54,54,54,p4v2018,-0.7307692307692307,-0.08404558404558404
1894,-0.7407407407407407,-0.7407407407407407,54,54,54,p4v2018,-0.6538461538461539,-0.08689458689458684
1895,-0.7592592592592593,-0.7592592592592593,54,54,54,p4v2018,-0.6730769230769231,-0.08618233618233617
1896,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2018,-0.7692307692307693,-0.08262108262108259
1897,-0.8518518518518519,-0.8518518518518519,54,54,54,p4v2018,-0.7692307692307693,-0.08262108262108259
1898,-0.5185185185185185,-0.5185185185185185,54,54,54,p4v2018,-0.4230769230769231,-0.09544159544159542
1899,-0.5185185185185185,-0.5185185185185185,54,54,54,p4v2018,-0.4230769230769231,-0.09544159544159542
1900,-0.5370370370370371,-0.5370370370370371,54,54,54,p4v2018,-0.4423076923076923,-0.0947293447293448
1901,-0.3148148148148148,-0.3454545454545454,54,55,55,p4v2018,-0.2452830188679245,-0.1001715265866209
1902,-0.2545454545454545,-0.2678571428571428,55,56,56,p4v2018,-0.1666666666666666,-0.10119047619047619
1903,-0.3090909090909091,-0.3035714285714285,55,56,56,p4v2018,-0.1272727272727272,-0.1762987012987013
1904,-0.4181818181818181,-0.3928571428571428,55,56,56,p4v2018,-0.2181818181818181,-0.1746753246753247
1905,-0.2407407407407407,-0.3392857142857143,54,56,56,p4v2018,-0.2,-0.1392857142857143
1906,-0.1296296296296296,-0.0714285714285714,54,56,56,p4v2018,0.0363636363636363,-0.10779220779220769
1907,-0.3962264150943396,-0.375,53,56,57,p4v2018,-0.2232142857142857,-0.1517857142857143
1908,0.0185185185185185,0.0526315789473684,54,57,57,p4v2018,0.1607142857142857,-0.10808270676691731
1909,0.037037037037037,0.1052631578947368,54,57,57,p4v2018,0.2142857142857142,-0.1090225563909774
1910,0.1481481481481481,0.3275862068965517,54,58,58,p4v2018,0.4385964912280701,-0.11101028433151838
1911,0.5576923076923077,0.6140350877192983,52,57,57,p4v2018,0.7349953831948292,-0.12096029547553089
1912,0.5192307692307693,0.6785714285714286,52,56,57,p4v2018,0.8734995383194829,-0.1949281097480543
1913,0.92,1.0363636363636364,50,55,56,p4v2018,0.854507680684966,0.1818559556786704
1914,0.5098039215686274,0.7454545454545455,51,55,57,p4v2018,0.7866276192047518,-0.04117307375020629
1915,0.7,0.7962962962962963,50,54,57,p4v2018,0.7377907935984162,0.05850550269788013
1916,0.7916666666666666,0.903846153846154,48,52,57,p4v2018,0.7751608645438047,0.12868528930234924
1917,1.4339622641509433,1.4285714285714286,53,56,59,p4v2018,1.2354465709728866,0.19312485759854203
1918,1.830188679245283,1.694915254237288,53,59,63,p4v2018,1.6853912640839637,0.009523990153324391
1919,1.851851851851852,1.7966101694915255,54,59,63,p4v2018,1.7195439110973916,0.07706625839413395
1920,2.0,2.0161290322580645,59,62,64,p4v2018,1.9004632794106475,0.11566575284741698
1921,2.262295081967213,2.1746031746031744,61,63,65,p4v2018,2.1696606035106263,0.0049425710925481425
1922,2.2459016393442623,2.0,61,66,67,p4v2018,2.169036471484452,-0.1690364714844521
1923,1.9508196721311477,1.6923076923076923,61,65,66,p4v2018,1.8140994256661331,-0.12179173335844085
1924,1.532258064516129,1.2878787878787878,62,66,68,p4v2018,1.460381413285193,-0.17250262540640526
1925,1.1791044776119404,1.0735294117647058,67,68,68,p4v2018,1.2503678613718987,-0.17683844960719286
1926,1.015384615384615,0.9264705882352942,65,68,69,p4v2018,1.039760863731272,-0.11329027549597792
1927,1.0307692307692309,0.8235294117647058,65,68,69,p4v2018,0.9504828052284672,-0.12695339346376133
1928,0.6119402985074627,0.5652173913043478,67,69,69,p4v2018,0.7435576879021333,-0.1783402965977855
1929,0.4626865671641791,0.3188405797101449,67,69,69,p4v2018,0.6395737470463873,-0.32073316733624235
1930,0.265625,0.144927536231884,64,69,69,p4v2018,0.4620603944259355,-0.31713285819405146
1931,0.2121212121212121,-0.0144927536231884,66,69,69,p4v2018,0.2992529241584249,-0.31374567778161333
1932,0.2272727272727272,0.0144927536231884,66,69,69,p4v2018,0.3276219244791496,-0.3131291708559612
1933,-0.2615384615384615,-0.3478260869565217,65,69,69,p4v2018,-0.0263620163765962,-0.3214640705799255
1934,-0.7384615384615385,-0.855072463768116,65,69,69,p4v2018,-0.5421106631146951,-0.31296180065342083
1935,-0.7352941176470589,-0.8428571428571429,68,70,70,p4v2018,-0.5497743923186954,-0.29308275053844746
1936,-1.391304347826087,-1.391304347826087,69,69,70,p4v2018,-1.1594976963504449,-0.23180665147564206
1937,-0.8805970149253731,-0.9411764705882352,67,68,70,p4v2018,-0.8271920148749481,-0.11398445571328708
1938,-0.7878787878787878,-0.7941176470588235,66,68,70,p4v2018,-0.7267703913704658,-0.06734725568835764
1939,-1.0476190476190477,-0.9850746268656716,63,67,70,p4v2018,-0.713305289605114,-0.27176933726055763
1940,-2.2413793103448274,-2.1746031746031744,58,63,70,p4v2018,-1.1636083037817913,-1.0109948708213832
1941,-1.9423076923076923,-1.7413793103448276,52,58,67,p4v2018,-0.9299812241818268,-0.8113980861630008
1942,-2.0185185185185186,-1.8166666666666669,54,60,67,p4v2018,-0.9721205139449792,-0.8445461527216876
1943,-1.9056603773584904,-1.6557377049180328,53,61,68,p4v2018,-0.7595516547007188,-0.896186050217314
1944,-0.7037037037037037,-0.8571428571428571,54,63,69,p4v2018,-0.1987208193243545,-0.6584220378185026
1945,0.2241379310344827,0.0597014925373134,58,67,72,p4v2018,-0.1013642057629471,0.1610656983002605
1946,0.7258064516129032,0.2318840579710145,62,69,72,p4v2018,0.1622800668913952,0.06960399107961929
1947,0.365079365079365,0.0285714285714285,63,70,73,p4v2018,0.1407707691975896,-0.1121993406261611
1948,0.1643835616438356,0.0266666666666666,73,75,78,p4v2018,0.2285301139907694,-0.2018634473241028
1949,-0.1052631578947368,-0.2435897435897435,76,78,79,p4v2018,-0.0716591896223653,-0.17193055396737822
1950,-0.0126582278481012,-0.0126582278481012,79,79,80,p4v2018,0.1981562393548282,-0.2108144672029294
1951,-0.0632911392405063,-0.15,79,80,81,p4v2018,0.1156305466288812,-0.2656305466288812
1952,0.1282051282051282,-0.0123456790123456,78,81,81,p4v2018,0.1590080173517592,-0.1713536963641048
1953,0.0769230769230769,-0.0975609756097561,78,82,82,p4v2018,-0.1186801886091997,0.021119212999443596
1954,-0.050632911392405,-0.3214285714285714,79,84,84,p4v2018,-0.2210024137036295,-0.1004261577249419
1955,-0.1829268292682926,-0.2705882352941176,82,85,85,p4v2018,-0.1199352434800979,-0.15065299181401967
1956,0.0476190476190476,0.0581395348837209,84,86,87,p4v2018,0.1718327371393451,-0.11369320225562421
1957,0.1395348837209302,0.1590909090909091,86,88,88,p4v2018,0.4682329150062452,-0.30914200591533614
1958,-0.3218390804597701,-0.3295454545454545,87,88,89,p4v2018,0.2083214608297289,-0.5378669153751834
1959,-0.1444444444444444,-0.1428571428571428,90,91,92,p4v2018,0.3711403762604779,-0.5139975191176207
1960,-0.6915887850467289,-0.6454545454545455,107,110,111,p4v2018,-0.2393764690462186,-0.40607807640832694
1961,-0.7636363636363637,-0.7719298245614035,110,114,114,p4v2018,-0.3760073045150069,-0.39592252004639655
1962,-0.7192982456140351,-0.7627118644067796,114,118,118,p4v2018,-0.4901822864812166,-0.27252957792556304
1963,-1.087719298245614,-1.0756302521008403,114,119,120,p4v2018,-0.7607274793975561,-0.31490277270328415
1964,-1.0701754385964912,-1.115702479338843,114,121,122,p4v2018,-0.8204980439805734,-0.2952044353582697
1965,-1.1610169491525424,-1.1639344262295082,118,122,123,p4v2018,-0.9022784948155196,-0.2616559314139886
1966,-1.2950819672131149,-1.264,122,125,126,p4v2018,-0.9748583050572074,-0.2891416949427926
1967,-1.5887096774193548,-1.5634920634920637,124,126,127,p4v2018,-1.2184963983702763,-0.34499566512178736
1968,-1.4285714285714286,-1.4108527131782946,126,129,130,p4v2018,-1.109861448230567,-0.30099126494772754
1969,-1.768,-1.7054263565891472,125,129,130,p4v2018,-1.3476986345599915,-0.3577277220291557
1970,-1.6771653543307086,-1.6946564885496185,127,131,132,p4v2018,-1.310761823688019,-0.3838946648615995
1971,-2.1615384615384614,-2.1194029850746268,130,134,135,p4v2018,-1.7385114420578165,-0.3808915430168103
1972,-2.537878787878788,-2.474074074074074,132,135,136,p4v2018,-2.1190339726294045,-0.35504010144466935
1973,-2.417910447761194,-2.411764705882353,134,136,136,p4v2018,-2.040504822206482,-0.3712598836758709
1974,-2.308270676691729,-2.291970802919708,133,137,137,p4v2018,-1.9096299900408251,-0.382340812878883
1975,-2.3093525179856114,-2.244755244755245,139,143,143,p4v2018,-1.8677333871913948,-0.3770218575638502
1976,-2.5319148936170213,-2.4895104895104896,141,143,143,p4v2018,-2.1160649497412716,-0.373445539769218
1977,-2.618705035971223,-2.5174825174825175,139,143,143,p4v2018,-2.155200319914555,-0.3622821975679624
1978,-2.1231884057971016,-2.0694444444444446,138,144,144,p4v2018,-1.6867422341699037,-0.382702210274541
1979,-1.7462686567164178,-1.6382978723404256,134,141,144,p4v2018,-1.2688649445322058,-0.3694329278082198
1980,-1.9191176470588236,-1.8591549295774648,136,142,144,p4v2018,-1.491832725317043,-0.36732220426042184
1981,-1.9635036496350364,-1.8943661971830985,137,142,144,p4v2018,-1.5176174075103306,-0.3767487896727679
1982,-1.870503597122302,-1.816901408450704,139,142,144,p4v2018,-1.430726033365591,-0.3861753750851131
1983,-1.6762589928057554,-1.6126760563380282,139,142,144,p4v2018,-1.2170740958405684,-0.3956019604974599
1984,-1.6785714285714286,-1.6830985915492958,140,142,144,p4v2018,-1.2780700456394902,-0.4050285459098055
1985,-1.4710144927536233,-1.4366197183098592,138,142,144,p4v2018,-1.0221645869877076,-0.4144551313221516
1986,-1.2949640287769784,-1.3169014084507042,139,142,144,p4v2018,-0.9000619452373334,-0.41683946321337084
1987,-1.237410071942446,-1.2605633802816902,139,142,144,p4v2018,-0.8342973316559734,-0.4262660486257168
1988,-1.0,-0.986013986013986,141,143,144,p4v2018,-0.5713496194830642,-0.41466436653092187
1989,-0.5539568345323741,-0.5244755244755245,139,143,144,p4v2018,-0.1302328932256479,-0.3942426312498766
1990,0.6762589928057554,0.5833333333333334,139,144,147,p4v2018,0.7274151181790546,-0.1440817848457212
1991,1.5782312925170068,1.3375,147,160,161,p4v2018,1.4213644392110685,-0.08386443921106856
1992,2.1824324324324325,2.00625,148,160,161,p4v2018,2.043513808139535,-0.037263808139535115
1993,2.3006535947712417,2.208588957055215,153,163,164,p4v2018,2.308888571836211,-0.10029961478099603
1994,2.616883116883117,2.4876543209876543,154,162,163,p4v2018,2.5750642031673565,-0.08740988217970225
1995,2.5844155844155843,2.459627329192547,154,161,163,p4v2018,2.5501363766867646,-0.09050904749421784
1996,2.420382165605095,2.347826086956522,157,161,163,p4v2018,2.441411857594028,-0.09358577063750584
1997,2.3734177215189876,2.329192546583851,158,161,163,p4v2018,2.419107091587712,-0.08991454500386098
1998,2.587096774193548,2.484472049689441,155,161,163,p4v2018,2.575814671260408,-0.09134262157096718
1999,2.7973856209150325,2.701863354037267,153,161,163,p4v2018,2.794250645994832,-0.09238729195756523
2000,2.987012987012987,2.9440993788819876,154,161,163,p4v2018,2.957131065173701,-0.013031686291713473
2001,3.220779220779221,3.15,154,160,163,p4v2018,3.104138468479554,0.04586153152044581
2002,3.352564102564102,3.260869565217391,156,161,164,p4v2018,3.2189302529400976,0.04193931227729353
2003,3.363636363636364,3.289308176100629,154,159,164,p4v2018,3.213419698565757,0.07588847753487205
2004,3.4805194805194803,3.41875,154,160,164,p4v2018,3.3494879871971475,0.06926201280285271
2005,3.673076923076923,3.633540372670807,156,161,164,p4v2018,3.5587270075358557,0.0748133651349514
2006,3.7639751552795033,3.7177914110429446,161,163,166,p4v2018,3.627705627705628,0.09008578333731654
2007,3.73125,3.685185185185185,160,162,165,p4v2018,3.606707317073171,0.07847786811201418
2008,3.8447204968944098,3.7975460122699385,161,163,166,p4v2018,3.72987012987013,0.0676758823998087
2009,3.8322981366459623,3.785276073619632,161,163,166,p4v2018,3.7294372294372296,0.05583884418240226
2010,3.9125,3.841463414634146,160,164,166,p4v2018,3.801731601731602,0.03973181290254413
2011,4.061728395061729,4.012121212121212,162,165,168,p4v2018,4.013339070567986,-0.0012178584467745779
2012,4.1125,4.0,160,165,167,p4v2018,4.012987012987013,-0.012987012987013102
2013,4.25625,4.163636363636364,160,165,167,p4v2018,4.185281385281385,-0.021645021645021245
2014,4.22360248447205,4.096385542168675,161,166,167,p4v2018,4.121951219512195,-0.02556567734352022
2015,4.3375,4.192771084337349,160,166,167,p4v2018,4.233128834355829,-0.04035775001847952
2016,4.216049382716049,4.144578313253012,162,166,167,p4v2018,,
2017,4.190184049079755,4.114457831325301,163,166,167,p4v2018,,
2018,4.184049079754601,4.096385542168675,163,166,167,p4v2018,,
1800,-7.318181818181818,-7.318181818181818,22,22,22,p5v2018,-6.944444444444445,-0.3737373737373737
1801,-7.142857142857143,-7.142857142857143,21,21,22,p5v2018,-6.944444444444445,-0.1984126984126986
1802,-7.272727272727272,-7.272727272727272,22,22,22,p5v2018,-6.944444444444445,-0.32828282828282696
1803,-7.272727272727272,-7.272727272727272,22,22,22,p5v2018,-6.944444444444445,-0.32828282828282696
1804,-7.272727272727272,-7.272727272727272,22,22,22,p5v2018,-6.944444444444445,-0.32828282828282696
1805,-7.142857142857143,-7.142857142857143,21,21,22,p5v2018,-6.944444444444445,-0.1984126984126986
1806,-7.272727272727272,-7.272727272727272,22,22,23,p5v2018,-6.944444444444445,-0.32828282828282696
1807,-7.142857142857143,-7.142857142857143,21,21,23,p5v2018,-6.916666666666667,-0.22619047619047628
1808,-7.0,-7.0,20,20,23,p5v2018,-6.880952380952381,-0.11904761904761862
1809,-6.842105263157895,-6.95,19,20,23,p5v2018,-6.511904761904763,-0.4380952380952374
1810,-6.842105263157895,-6.95,19,20,23,p5v2018,-6.476190476190476,-0.4738095238095239
1811,-6.95,-7.0476190476190474,20,21,24,p5v2018,-6.575187969924813,-0.4724310776942344
1812,-7.0,-7.0,21,21,24,p5v2018,-6.488721804511278,-0.511278195488722
1813,-7.0,-7.0,21,21,24,p5v2018,-6.454887218045113,-0.5451127819548871
1814,-6.913043478260869,-6.913043478260869,23,23,25,p5v2018,-6.25,-0.6630434782608692
1815,-7.466666666666667,-7.466666666666667,30,30,31,p5v2018,-6.340909090909091,-1.125757575757576
1816,-7.548387096774194,-7.548387096774194,31,31,32,p5v2018,-6.318181818181818,-1.2302052785923756
1817,-7.548387096774194,-7.548387096774194,31,31,32,p5v2018,-6.295454545454546,-1.252932551319648
1818,-7.4375,-7.4375,32,32,33,p5v2018,-6.217391304347826,-1.2201086956521738
1819,-7.333333333333333,-7.333333333333333,33,33,34,p5v2018,-6.195652173913044,-1.1376811594202891
1820,-6.9411764705882355,-6.828571428571428,34,35,35,p5v2018,-5.833333333333333,-0.9952380952380953
1821,-6.777777777777778,-6.675675675675675,36,37,37,p5v2018,-5.72,-0.9556756756756757
1822,-6.675675675675675,-6.578947368421052,37,38,38,p5v2018,-5.615384615384615,-0.9635627530364372
1823,-6.631578947368421,-6.631578947368421,38,38,38,p5v2018,-5.6923076923076925,-0.9392712550607287
1824,-6.435897435897436,-6.35,39,40,40,p5v2018,-5.62962962962963,-0.7203703703703699
1825,-6.2926829268292686,-6.166666666666667,41,42,42,p5v2018,-5.448275862068965,-0.7183908045977017
1826,-6.2926829268292686,-6.119047619047619,41,42,42,p5v2018,-5.379310344827586,-0.7397372742200323
1827,-6.261904761904762,-6.046511627906977,42,43,43,p5v2018,-5.3,-0.746511627906977
1828,-6.093023255813954,-6.093023255813954,43,43,43,p5v2018,-5.233333333333333,-0.8596899224806203
1829,-6.0476190476190474,-6.023255813953488,42,43,43,p5v2018,-5.233333333333333,-0.789922480620155
1830,-5.782608695652174,-5.75,46,48,48,p5v2018,-4.942857142857143,-0.8071428571428569
1831,-5.695652173913044,-5.666666666666667,46,48,48,p5v2018,-4.942857142857143,-0.7238095238095239
1832,-5.531914893617022,-5.510204081632653,47,49,49,p5v2018,-4.75,-0.7602040816326534
1833,-5.565217391304348,-5.520833333333333,46,48,48,p5v2018,-4.75,-0.770833333333333
1834,-5.608695652173913,-5.520833333333333,46,48,48,p5v2018,-4.75,-0.770833333333333
1835,-5.708333333333333,-5.708333333333333,48,48,48,p5v2018,-5.0,-0.708333333333333
1836,-5.595744680851064,-5.541666666666667,47,48,48,p5v2018,-4.777777777777778,-0.7638888888888893
1837,-5.395833333333333,-5.395833333333333,48,48,48,p5v2018,-4.583333333333333,-0.8125
1838,-5.18,-5.18,50,50,50,p5v2018,-4.315789473684211,-0.8642105263157891
1839,-5.196078431372549,-5.196078431372549,51,51,51,p5v2018,-4.2,-0.996078431372549
1840,-5.196078431372549,-5.196078431372549,51,51,51,p5v2018,-4.225,-0.9710784313725496
1841,-5.098039215686274,-5.098039215686274,51,51,52,p5v2018,-4.048780487804878,-1.049258727881396
1842,-5.134615384615385,-5.134615384615385,52,52,52,p5v2018,-4.146341463414634,-0.9882739212007507
1843,-5.134615384615385,-5.134615384615385,52,52,52,p5v2018,-4.146341463414634,-0.9882739212007507
1844,-5.113207547169812,-5.113207547169812,53,53,53,p5v2018,-4.142857142857143,-0.9703504043126685
1845,-5.150943396226415,-5.150943396226415,53,53,53,p5v2018,-4.142857142857143,-1.0080862533692718
1846,-5.134615384615385,-5.134615384615385,52,52,53,p5v2018,-4.071428571428571,-1.0631868131868139
1847,-4.811320754716981,-4.811320754716981,53,53,54,p5v2018,-3.883720930232558,-0.9275998244844228
1848,-3.924528301886793,-4.018518518518518,53,54,55,p5v2018,-3.1818181818181817,-0.8367003367003365
1849,-3.814814814814815,-3.909090909090909,54,55,55,p5v2018,-2.909090909090909,-1.0
1850,-3.890909090909091,-3.890909090909091,55,55,55,p5v2018,-2.886363636363636,-1.0045454545454553
1851,-3.9814814814814814,-3.9272727272727272,54,55,55,p5v2018,-2.9318181818181817,-0.9954545454545456
1852,-4.169811320754717,-4.166666666666667,53,54,55,p5v2018,-3.136363636363636,-1.0303030303030312
1853,-4.148148148148148,-4.148148148148148,54,54,55,p5v2018,-2.840909090909091,-1.307239057239057
1854,-4.0,-4.0,56,56,56,p5v2018,-2.909090909090909,-1.0909090909090908
1855,-3.9107142857142856,-3.9107142857142856,56,56,57,p5v2018,-2.7555555555555555,-1.15515873015873
1856,-3.9107142857142856,-3.9107142857142856,56,56,57,p5v2018,-2.7555555555555555,-1.15515873015873
1857,-3.6666666666666665,-3.6666666666666665,57,57,58,p5v2018,-2.4782608695652173,-1.1884057971014492
1858,-3.6842105263157894,-3.775862068965518,57,58,58,p5v2018,-2.6956521739130435,-1.0802098950524743
1859,-3.6206896551724137,-3.694915254237288,58,59,59,p5v2018,-2.6382978723404253,-1.0566173818968627
1860,-3.7358490566037736,-3.7413793103448274,53,58,59,p5v2018,-2.574468085106383,-1.1669112252384446
1861,-3.176470588235294,-3.1818181818181817,51,55,56,p5v2018,-2.4791666666666665,-0.7026515151515151
1862,-3.14,-3.0545454545454547,50,55,55,p5v2018,-2.3541666666666665,-0.7003787878787882
1863,-3.2,-2.9814814814814814,50,54,55,p5v2018,-2.2708333333333335,-0.7106481481481479
1864,-3.173076923076923,-3.0545454545454547,52,55,55,p5v2018,-2.3541666666666665,-0.7003787878787882
1865,-2.9814814814814814,-2.963636363636364,54,55,55,p5v2018,-2.3958333333333335,-0.5678030303030304
1866,-3.1296296296296298,-3.090909090909091,54,55,55,p5v2018,-2.5416666666666665,-0.5492424242424243
1867,-2.75,-2.7586206896551726,56,58,58,p5v2018,-2.176470588235294,-0.5821501014198787
1868,-2.672727272727273,-2.7586206896551726,55,58,58,p5v2018,-2.25,-0.5086206896551726
1869,-2.5454545454545454,-2.6379310344827585,55,58,58,p5v2018,-2.1153846153846154,-0.522546419098143
1870,-2.5272727272727273,-2.5344827586206895,55,58,58,p5v2018,-2.0,-0.5344827586206895
1871,-2.363636363636364,-2.3333333333333335,55,57,57,p5v2018,-1.7058823529411764,-0.6274509803921571
1872,-1.94,-1.9056603773584904,50,53,53,p5v2018,-1.6274509803921569,-0.2782093969663335
1873,-1.9230769230769231,-1.849056603773585,52,53,53,p5v2018,-1.6274509803921569,-0.22160562338142809
1874,-1.803921568627451,-1.7547169811320755,51,53,53,p5v2018,-1.5294117647058822,-0.22530521642619328
1875,-1.803921568627451,-1.679245283018868,51,53,53,p5v2018,-1.431372549019608,-0.2478727339992599
1876,-1.96078431372549,-1.8867924528301887,51,53,53,p5v2018,-1.568627450980392,-0.3181650018497968
1877,-1.8076923076923077,-1.9056603773584904,52,53,53,p5v2018,-1.607843137254902,-0.29781724010358834
1878,-1.8076923076923077,-1.9245283018867925,52,53,53,p5v2018,-1.6274509803921569,-0.2970773214946356
1879,-1.660377358490566,-1.7962962962962965,53,54,54,p5v2018,-1.5,-0.2962962962962965
1880,-1.351851851851852,-1.351851851851852,54,54,54,p5v2018,-1.0192307692307692,-0.3326210826210829
1881,-1.339622641509434,-1.339622641509434,53,53,54,p5v2018,-1.0384615384615383,-0.3011611030478958
1882,-1.339622641509434,-1.339622641509434,53,53,54,p5v2018,-1.0384615384615383,-0.3011611030478958
1883,-1.2777777777777777,-1.2777777777777777,54,54,54,p5v2018,-0.9230769230769232,-0.35470085470085444
1884,-1.3703703703703705,-1.3703703703703705,54,54,54,p5v2018,-1.0192307692307692,-0.3511396011396013
1885,-1.2777777777777777,-1.2777777777777777,54,54,54,p5v2018,-1.0192307692307692,-0.2585470085470085
1886,-1.462962962962963,-1.462962962962963,54,54,54,p5v2018,-1.2115384615384617,-0.25142450142450135
1887,-1.462962962962963,-1.462962962962963,54,54,54,p5v2018,-1.2115384615384617,-0.25142450142450135
1888,-1.3333333333333333,-1.3333333333333333,54,54,54,p5v2018,-1.0769230769230769,-0.2564102564102564
1889,-1.2592592592592593,-1.2592592592592593,54,54,54,p5v2018,-1.0,-0.2592592592592593
1890,-0.9814814814814816,-0.9814814814814816,54,54,54,p5v2018,-0.7307692307692307,-0.2507122507122509
1891,-1.0185185185185186,-1.0185185185185186,54,54,54,p5v2018,-0.7692307692307693,-0.24928774928774933
1892,-1.0,-1.0,54,54,54,p5v2018,-0.75,-0.25
1893,-0.9814814814814816,-0.9814814814814816,54,54,54,p5v2018,-0.7307692307692307,-0.2507122507122509
1894,-0.8518518518518519,-0.8518518518518519,54,54,54,p5v2018,-0.6538461538461539,-0.198005698005698
1895,-0.8703703703703703,-0.8703703703703703,54,54,54,p5v2018,-0.6730769230769231,-0.19729344729344722
1896,-0.9629629629629628,-0.9629629629629628,54,54,54,p5v2018,-0.7692307692307693,-0.19373219373219353
1897,-0.9629629629629628,-0.9629629629629628,54,54,54,p5v2018,-0.7692307692307693,-0.19373219373219353
1898,-0.6296296296296297,-0.6296296296296297,54,54,54,p5v2018,-0.4230769230769231,-0.20655270655270658
1899,-0.6296296296296297,-0.6296296296296297,54,54,54,p5v2018,-0.4230769230769231,-0.20655270655270658
1900,-0.6481481481481481,-0.6481481481481481,54,54,54,p5v2018,-0.4423076923076923,-0.20584045584045585
1901,-0.4259259259259259,-0.4545454545454545,54,55,55,p5v2018,-0.2452830188679245,-0.20926243567752997
1902,-0.3636363636363636,-0.375,55,56,56,p5v2018,-0.1666666666666666,-0.2083333333333334
1903,-0.4181818181818181,-0.4107142857142857,55,56,56,p5v2018,-0.1272727272727272,-0.2834415584415585
1904,-0.5272727272727272,-0.5,55,56,56,p5v2018,-0.2181818181818181,-0.2818181818181819
